id,usuario_id,registrado_em,lat,lon,origem_id
85,81,2014-05-16 12:00:22,-23.601485,-46.694599,355030804
86,82,2014-05-16 12:03:28,-23.491666,-46.466328,355030828
87,84,2014-05-16 12:31:02,-23.547315,-46.637733,355030869
88,86,2014-05-16 13:03:55,-23.512631,-46.588181,355030889
89,87,2014-05-16 13:09:31,-23.2305796,-45.9131956,3549904
90,88,2014-05-16 13:29:16,-23.538331,-46.551102,355030880
91,396,2014-05-16 13:40:15,-23.538980,-46.694993,355030848
92,91,2014-05-16 13:55:07,-23.6805175,-46.7779892,355030819
93,93,2014-05-16 14:01:38,-23.548686,-46.6390369,355030871
94,94,2014-05-16 14:03:57,-23.4583529,-46.7144785,355030863
95,96,2014-05-16 14:13:57,-23.5630116,-46.6769283,355030848
96,97,2014-05-16 14:23:24,-23.5886772,-46.6140339,355030834
97,98,2014-05-16 14:29:12,-23.562548,-46.683543,355030806
98,99,2014-05-16 14:45:38,-23.504930,-46.526828,355030859
99,100,2014-05-16 14:48:24,-23.559499,-46.690495,355030871
100,102,2014-05-16 15:00:00,-23.597394,-46.675613,355030806
101,62,2014-05-16 15:04:34,-23.593777,-46.770377,355030812
102,104,2014-05-16 15:13:36,-1.4483444,-48.4915608,1501402
103,104,2014-05-16 16:00:56,-1.448442,-48.491602,1501402
104,108,2014-05-16 16:06:43,-23.595020,-46.634501,355030838
105,109,2014-05-16 16:16:45,-23.5514389,-46.6413398,355030807
106,36,2014-05-16 16:20:11,-23.544973,-46.636498,355030866
107,111,2014-05-16 16:35:03,-23.5605719,-46.7396957,355030890
108,112,2014-05-16 16:48:15,-23.638665,-45.422598,3510500
109,36,2014-05-16 16:53:58,-23.545599,-46.636624,355030866
110,36,2014-05-16 16:54:26,-23.545306,-46.636670,355030866
111,379,2014-05-16 17:00:35,-23.564093,-46.684550,355030862
112,113,2014-05-16 17:17:51,-23.483871,-46.6424872,355030870
113,118,2014-05-16 17:45:26,-15.793733,-47.872626,3548906
114,119,2014-05-16 17:52:28,-23.582489,-46.629743,355030890
115,113,2014-05-16 18:14:30,-23.4921113,-46.63406,355030870
116,123,2014-05-16 18:17:24,-23.669446,-46.588068,355030848
117,124,2014-05-16 18:19:19,-23.555706,-46.681206,355030848
118,125,2014-05-16 18:19:43,-23.469395,-46.687287,355030811
119,125,2014-05-16 18:26:18,-23.469299,-46.687226,355030811
120,126,2014-05-16 18:34:39,-23.532715,-46.653398,355030869
121,127,2014-05-16 18:40:34,0.0,0.0,3513009
122,128,2014-05-16 18:45:36,-23.5833008,-46.663155,355030859
123,129,2014-05-16 19:05:13,-23.562503,-46.681835,355030869
124,130,2014-05-16 19:09:44,-22.924197,-43.174486,3304557
125,129,2014-05-16 19:11:29,-23.562507,-46.681813,355030869
126,127,2014-05-16 19:12:50,-23.6024884,-46.8598858,3513009
127,131,2014-05-16 19:25:20,-23.568656,-46.666855,355030845
128,127,2014-05-16 19:26:53,-23.6024878,-46.8598873,3513009
129,80,2014-05-16 19:30:59,-23.5352758,-46.6495781,355030848
130,111,2014-05-16 19:33:13,-23.5721611,-46.7111962,355030890
131,137,2014-05-16 19:47:21,-23.6249437,-46.7580485,355030817
132,138,2014-05-16 19:49:10,-23.5739598,-46.7184406,355030812
133,146,2014-05-16 20:12:00,-23.536402,-46.707305,355030860
134,148,2014-05-16 20:37:39,-23.537661,-46.645867,355030826
135,150,2014-05-16 20:39:46,-23.7446417,-46.668598,355030830
136,154,2014-05-16 20:57:01,-23.533906,-46.650908,355030869
137,154,2014-05-16 21:07:13,-23.533897,-46.650835,355030869
138,156,2014-05-16 21:11:42,0.0,0.0,355030860
139,161,2014-05-16 21:29:03,-23.5490466,-46.6466411,355030807
140,47,2014-05-16 22:13:02,-23.480486,-46.538772,3518800
141,167,2014-05-16 22:26:09,-23.555979,-46.680283,355030862
142,80,2014-05-16 22:29:01,-23.5257637,-46.7048794,355030848
143,118,2014-05-16 22:52:01,-15.782966,-47.875368,3548906
144,173,2014-05-16 22:54:27,-23.5413102,-46.6366154,355030866
145,176,2014-05-16 23:05:12,-23.572922,-46.687181,355030845
146,177,2014-05-16 23:14:08,(null),(null),355030893
147,179,2014-05-16 23:17:59,-23.5429333,-46.5749261,355030805
148,63,2014-05-16 23:29:34,-23.554489,-46.676965,355030856
149,124,2014-05-16 23:29:43,-23.556192,-46.680084,355030848
150,180,2014-05-16 23:30:02,-23.555785,-46.679739,3507605
151,36,2014-05-16 23:31:37,-23.555988,-46.680259,355030866
152,35,2014-05-16 23:34:37,-23.555838,-46.680052,355030860
153,167,2014-05-16 23:38:03,-23.555848,-46.680049,355030862
154,182,2014-05-16 23:48:39,-23.555203,-46.683403,355030862
155,63,2014-05-16 23:48:46,-23.555775,-46.680035,355030856
156,184,2014-05-16 23:56:52,-23.5389762,-46.6462967,355030802
157,183,2014-05-16 23:59:25,-23.526833,-46.390576,355030831
158,35,2014-05-17 00:04:53,-23.555932,-46.679947,355030860
159,185,2014-05-17 00:18:38,-23.499385,-46.676146,355030850
160,188,2014-05-17 00:35:01,-23.5805234,-46.7441675,355030812
161,77,2014-05-17 00:37:35,-23.5558122,-46.6799956,2927408
162,35,2014-05-17 00:47:13,-23.555842,-46.679833,355030860
163,63,2014-05-17 00:48:36,-23.555783,-46.680039,355030856
164,189,2014-05-17 00:50:19,-23.52174919,-46.66325572,355030866
165,167,2014-05-17 00:50:41,-23.555843,-46.679943,355030862
166,77,2014-05-17 00:50:46,-23.555829,-46.6800796,2927408
167,35,2014-05-17 00:52:19,-23.555937,-46.679783,355030860
168,190,2014-05-17 00:54:23,-23.555963,-46.680433,355030828
169,63,2014-05-17 00:54:57,-23.555780,-46.679876,355030856
170,191,2014-05-17 00:55:04,-23.4806235,-46.7247732,355030863
171,167,2014-05-17 00:55:59,-23.556002,-46.680207,355030862
172,35,2014-05-17 00:57:32,-23.555771,-46.679990,355030860
173,190,2014-05-17 00:59:26,-23.555890,-46.680009,355030828
